Fragen,Antworten
"Welche Verfahrbereiche haben die Modelle S-400T, S-720T und S-1000T jeweils auf der X-, Y- und Z-Achse?","S-400T: X 400 mm, Y 300 mm, Z 110 mm. S-720T: X 720 mm, Y 420 mm, Z 110 mm. S-1000T: X 1000 mm, Y 600 mm, Z 110 mm."
Ist die programmierbare Auflösung der S-720T identisch mit ihrer Wiederholgenauigkeit?,"Nein. Die programmierbare Auflösung beträgt 0,005 mm für XY und 0,0025 mm für Z. Die Wiederholgenauigkeit wird separat mit 0,01 mm angegeben."
"Unter welchen Messbedingungen gelten die angegebenen XY-Geschwindigkeiten, und welche Software wird für Geschwindigkeiten über 120 mm/s benötigt?",Angegeben sind 200 mm/s Positioniergeschwindigkeit und 133 mm/s Arbeitsgeschwindigkeit. Beide Werte wurden in der Diagonalfahrt X+Y gemessen und hängen von der Konturform ab. Für Geschwindigkeiten über 120 mm/s wird WinPCNC USB oder Profi benötigt.
"Welcher Temperaturbereich ist für den Betrieb angegeben, und welche Temperatur empfiehlt die Anleitung für die Bearbeitung?","Als Betriebsbedingung sind 15–30 °C angegeben. Für die Bearbeitung werden 20–25 °C empfohlen, um nennenswerte Einflüsse durch die unterschiedlichen Ausdehnungskoeffizienten der Materialien zu vermeiden."
Darf die Maschine 120 Stunden ohne Unterbrechung laufen?,Nein. Die maximale Betriebsdauer am Stück beträgt 100 Stunden. Danach ist eine Pause von 2 Stunden bis zum nächsten Betrieb vorgesehen.
Ich möchte Aluminium ohne Absaugung bearbeiten. Ist das laut Anleitung zulässig?,"Nein. Für die Bearbeitung von Leichtmetalllegierungen wie Magnesium, Aluminium und Titan muss eine Absaugvorrichtung installiert werden. Die Bearbeitung ohne Absaugung und entsprechende Sicherheitsmaßnahmen wird als Fehlgebrauch aufgeführt."
"Welche Schmierarbeiten sind nach 10, 20 und 50 Betriebsstunden vorgesehen, und wer darf sie ausführen?",Alle 10 Betriebsstunden: Kugelgewindespindel der Z-Achse fetten und Linearführungen einölen. Alle 20 Betriebsstunden: Kugelgewindetriebe der X- und Y-Achse fetten. Alle 50 Betriebsstunden: Motorlager über die vorgesehenen Trichterschmiernippel fetten. Alle genannten Arbeiten führt Fachpersonal aus.
Die Maschine erkennt den Referenzschalter nicht. Welche Ursachen und Abhilfen nennt die Anleitung?,Möglich sind ein falsch eingestellter Vorschub der Referenzfahrt oder ein defekter Referenzschalter. Beim Vorschub soll Fachpersonal den Richtwert 5 mm/s in der Software einstellen. Bei einem defekten Schalter sind Austausch bzw. Reparatur durch Fachpersonal oder Hersteller vorgesehen.
"Reicht es nach einem Not-Aus aus, den Taster zu entriegeln und sofort weiterzuarbeiten?","Nein. Zuerst muss die Störungsursache ermittelt und behoben werden. Entriegeln darf man erst, wenn keine Gefahr mehr besteht und alle Sicherheitseinrichtungen montiert und funktionstüchtig sind. Für die Wiederinbetriebnahme: Not-Aus-Einrichtungen zurücksetzen, Störung an der Steuerung quittieren, Personenfreiheit im Gefahrenbereich sicherstellen und gemäß Kapitel „Bedienung“ starten."
"Welche Angaben benötigt eine Ersatzteilbestellung, und was passiert, wenn die Versandart fehlt?","Benötigt werden Anlagentyp, Baujahr, Seriennummer, Ausführung, Menge, Bezeichnung, gewünschte Versandart und Versandadresse. Die Anleitung erklärt allgemein, dass Bestellungen ohne die genannten Angaben nicht berücksichtigt werden können. Für die fehlende Versandart nennt sie ausdrücklich eine Ausnahme: Der Lieferant entscheidet über die Versandart."
